;available;price;name;rating;link
156;В наличии;169999;ASUS TUF GAMING Radeon RX 6900 XT TOP Edition [TUF-RX6900XT-T16G-GAMING] [PCI-E 4.0, 16 ГБ GDDR6, 256 бит, 1825 МГц - 2390 МГц, DisplayPort x3, HDMI];3,5;https://www.dns-shop.ru//product/19da222125b3ed20/videokarta-asus-tuf-gaming-radeon-rx-6900-xt-top-edition-tuf-rx6900xt-t16g-gaming/
157;Товара нет в наличии;170499;GIGABYTE GeForce RTX 3080 EAGLE [GV-N3080EAGLE-10GD] [PCI-E 4.0, 10 ГБ GDDR6X, 320 бит, 1440 МГц - 1710 МГц, DisplayPort x3, HDMI x2];3,5;https://www.dns-shop.ru//product/f51cb96814df3332/videokarta-gigabyte-geforce-rtx-3080-eagle-gv-n3080eagle-10gd/
158;В наличии;170999;GIGABYTE AORUS Radeon RX 6800 MASTER [GV-R68AORUS M-16GD] [PCI-E 4.0, 16 ГБ GDDR6, 256 бит, 1700 МГц - 2105 МГц, DisplayPort x2, HDMI x2];4;https://www.dns-shop.ru//product/d8e993803a093332/videokarta-gigabyte-aorus-radeon-rx-6800-master-gv-r68aorus-m-16gd/
159;В магазинах;174999;ASRock AMD Radeon RX 6900 XT OC Formula [RX6900XT OCF 16G] [PCI-E 4.0, 16 ГБ GDDR6, 256 бит, 2125 МГц - 2475 МГц, DisplayPort x3, HDMI];4;https://www.dns-shop.ru//product/4a564c0e9b292eb1/videokarta-asrock-amd-radeon-rx-6900-xt-oc-formula-rx6900xt-ocf-16g/
160;В магазинах;174999;Sapphire AMD Radeon RX 6900 XT TOXIC GAMING OC Limited Edition [11308-06-20G] [PCI-E 4.0, 16 ГБ GDDR6, 256 бит, 1825 МГц - 2365 МГц, DisplayPort x3, HDMI];5;https://www.dns-shop.ru//product/88e9af5c1755ed20/videokarta-sapphire-amd-radeon-rx-6900-xt-toxic-gaming-oc-limited-edition-11308-06-20g/
161;В магазинах;174999;Sapphire AMD Radeon RX 6900 XT TOXIC GAMING OC [11308-13-20G] [PCI-E 4.0, 16 ГБ GDDR6, 256 бит, 1825 МГц, DisplayPort x3, HDMI];4,5;https://www.dns-shop.ru//product/94b655043556ed20/videokarta-sapphire-amd-radeon-rx-6900-xt-toxic-gaming-oc-11308-13-20g/
162;Товара нет в наличии;179299;ASUS TUF Gaming GeForce RTX 3080 V2 (LHR) [TUF-RTX3080-10G-V2-GAMING] [PCI-E 4.0, 10 ГБ GDDR6X, 320 бит, 1440 МГц - 1740 МГц, DisplayPort x3, HDMI x2];4,5;https://www.dns-shop.ru//product/91680527fb53c823/videokarta-asus-tuf-gaming-geforce-rtx-3080-v2-lhr-tuf-rtx3080-10g-v2-gaming/
163;В наличии;179999;ASUS AMD Radeon RX 6900 XT TUF GAMING OC [TUF-RX6900XT-O16G-GAMING] [PCI-E 4.0, 16 ГБ GDDR6, 256 бит, 1825 МГц - 2340 МГц, DisplayPort x3, HDMI];4;https://www.dns-shop.ru//product/790d04a76f4f3332/videokarta-asus-amd-radeon-rx-6900-xt-tuf-gaming-oc-tuf-rx6900xt-o16g-gaming/
164;В магазинах;179999;ASUS Turbo GeForce RTX 3080 V2 (LHR) [TURBO-RTX3080-10G-V2] [PCI-E 4.0, 10 ГБ GDDR6X, 320 бит, 1440 МГц - 1740 МГц, DisplayPort x3, HDMI];4;https://www.dns-shop.ru//product/0649e311fb54c823/videokarta-asus-turbo-geforce-rtx-3080-v2-lhr-turbo-rtx3080-10g-v2/
165;В наличии;179999;GIGABYTE GeForce RTX 3080 VISION OC (LHR) [GV-N3080VISION OC-10GD rev2.0] [PCI-E 4.0, 10 ГБ GDDR6X, 320 бит, 1440 МГц - 1800 МГц, DisplayPort x3, HDMI x2];4,5;https://www.dns-shop.ru//product/4ffb7b37d0042ff2/videokarta-gigabyte-geforce-rtx-3080-vision-oc-lhr-gv-n3080vision-oc-10gd-rev20/
